CustomerID,FirstName,LastName,Gender,Birthdate,Email,Phone,Country,City,SignupDate,IsSubscribed
47,Robin,Raymond,Male,1980-01-31,mcdonaldcharles@gmail.com,+1-685-160-4817x54965,Malaysia,Johor Bahru,2023-12-31,True
48,Emily,Ruiz,Male,2002-02-27,deborahreid@yahoo.com,001-461-200-4711x382,Thailand,Chiang Mai,2023-05-14,False
49,Shawn,Santiago,Female,2007-05-25,nicolepena@yahoo.com,+1-640-537-7351x585,Singapore,Singapore,2024-07-22,False
50,Raymond,Lopez,Male,1968-04-24,batesdarlene@hotmail.com,0532931839,Thailand,Bangkok,2023-03-01,True
51,Lisa,Hall,Female,1970-01-15,michele22@king.com,(053)950-2402,Malaysia,Kuala Lumpur,2023-10-28,False
52,Alicia,Reese,Female,1992-05-29,william17@hotmail.com,908.470.0766,Vietnam,Da Nang,2024-09-10,False
53,Tracy,Browning,Male,1964-12-31,charlene12@weber-richards.com,(984)789-6118x3673,Singapore,Singapore,2023-05-13,True
54,Matthew,Chavez,Male,1988-04-22,ronald45@mcdaniel.com,116-152-8098,Singapore,Singapore,2024-08-30,False
55,Mark,Martinez,Female,1984-01-23,schmittcaroline@yahoo.com,983-273-1585,Thailand,Phuket,2025-04-17,True
56,Kathryn,Andrews,Male,1989-03-14,anthony44@bell-white.com,001-612-018-3667,Vietnam,Da Nang,2023-05-24,True
57,Eric,Collins,Female,1982-01-27,moorekaren@craig.info,+1-679-764-3815x61497,Singapore,Singapore,2024-05-09,False
58,Elizabeth,Williams,Male,1986-11-24,harrissierra@duran.com,076-226-8388,Malaysia,Penang,2025-02-22,False
59,Charles,Hensley,Female,1962-11-17,stevenschristian@yahoo.com,001-696-641-6052,Malaysia,Kuala Lumpur,2024-05-30,False
60,Steve,Norris,Male,1984-08-15,prichard@chapman-warren.biz,535-218-1883x5523,Vietnam,Hanoi,2025-07-14,True
61,Dwayne,Gonzalez,Female,2000-12-28,thompsonkendra@marshall-elliott.org,995.527.1774x490,Singapore,Singapore,2023-05-05,True
62,William,Collins,Female,1990-10-02,woodjustin@lin.net,(798)079-3597x8207,Thailand,Phuket,2024-05-26,False
63,Lisa,Monroe,Non-binary,1965-09-27,wrightsamuel@warren-bishop.com,(466)590-5151x864,Malaysia,Kuala Lumpur,2023-05-06,True
64,Jennifer,Douglas,Female,2001-01-05,christopher25@ponce-hale.biz,(914)865-2816,Malaysia,Kuala Lumpur,2023-12-23,False
65,Michael,Cox,Female,1972-04-07,stacey73@cooke.com,188-805-9296x2229,Malaysia,Penang,2025-01-24,True
66,Jennifer,Williams,Female,1984-10-15,wbishop@bowers.info,597.746.8862,Singapore,Singapore,2023-08-11,True
67,Laurie,Taylor,Male,1977-01-04,jsawyer@dawson.com,124-782-6137x5060,Singapore,Singapore,2023-10-03,False
68,Wayne,Young,Male,1965-07-21,anthonygalvan@hotmail.com,+1-522-047-2779x0104,Malaysia,Johor Bahru,2024-08-03,True
69,Mary,Dunn,Female,2001-06-07,parsonsjohn@gmail.com,3697117980,Malaysia,Johor Bahru,2023-10-28,True
70,Zachary,Allen,Male,1969-10-08,wsmith@gmail.com,001-621-851-8888,Singapore,Singapore,2025-08-04,False
71,Andrew,Marks,Male,1962-12-18,jon05@gmail.com,(319)520-5852x772,Singapore,Singapore,2025-04-05,True
72,Bryan,Parsons,Male,1991-02-22,james30@mahoney-robertson.net,403.450.5415x6676,Singapore,Singapore,2023-06-24,True
73,Terri,Crawford,Female,1993-11-09,laurie61@yahoo.com,+1-284-511-5447x962,Vietnam,Ho Chi Minh City,2024-05-06,False
74,Michael,Williams,Male,1983-12-28,danielle01@hotmail.com,+1-658-202-9702x1355,Singapore,Singapore,2024-10-16,False
75,Stacy,Johnson,Female,1970-06-10,nathan19@gmail.com,565.431.0278x68144,Thailand,Chiang Mai,2024-07-13,True
76,Jason,Carr,Female,2007-03-23,davidfarrell@yahoo.com,(715)518-8442,Thailand,Bangkok,2024-10-20,False
77,Grant,Ward,Male,1975-04-05,laurayoung@johnson-spencer.com,829.114.6786x691,Thailand,Khon Kaen,2025-08-13,True
78,Teresa,Day,Female,1990-08-15,david89@gmail.com,001-268-018-2422x53584,Vietnam,Ho Chi Minh City,2023-06-09,False
79,John,Reid,Male,1997-06-26,colleenmendez@gmail.com,299.229.9590x01094,Thailand,Khon Kaen,2023-03-29,False
80,Katie,Butler,Male,2003-06-26,ismall@may-turner.com,+1-647-102-7677x35925,Vietnam,Hanoi,2023-10-20,True
81,Jessica,Valencia,Prefer not to say,1987-02-18,zachary15@owens.info,210.469.6325,Singapore,Singapore,2024-04-06,True
82,Jennifer,Lee,Male,1970-11-04,tjimenez@yahoo.com,1687339500,Vietnam,Da Nang,2025-05-12,True
83,Troy,Khan,Female,2004-07-09,amanda16@gmail.com,565-060-9835x841,Vietnam,Hanoi,2024-02-07,True
84,William,Duran,Female,1979-01-13,theresalong@grant-diaz.com,986.800.0257,Singapore,Singapore,2024-07-19,False
85,Stephen,Obrien,Female,1995-01-29,sarah52@ewing-stevenson.com,001-588-879-4705,Malaysia,Penang,2025-02-10,True
86,Emily,Whitney,Female,1999-09-20,carlsonjoseph@hotmail.com,001-993-097-2896x23091,Malaysia,Johor Bahru,2024-04-24,True
87,Andrew,Edwards,Female,1970-04-21,roberthampton@yahoo.com,001-028-385-7865x2785,Singapore,Singapore,2023-09-19,True
88,Michael,Ingram,Female,2006-04-29,plee@yahoo.com,+1-434-437-5758,Vietnam,Hanoi,2025-03-24,False
89,Keith,Berry,Male,1996-12-18,xcardenas@gmail.com,041-574-7338x4842,Thailand,Khon Kaen,2024-01-25,True
90,Christina,Matthews,Male,1976-07-01,danawilliams@rivera-kennedy.com,8267734540,Vietnam,Ho Chi Minh City,2023-05-15,False
91,Denise,Hall,Female,1962-07-16,lkhan@osborn.info,(400)499-1547,Singapore,Singapore,2023-04-14,True
92,Amy,Snyder,Female,1969-02-17,james15@gmail.com,001-742-054-9329x6685,Malaysia,Johor Bahru,2025-08-19,True
93,Richard,Davis,Female,1969-07-26,shari04@yahoo.com,745.499.0453,Vietnam,Hanoi,2023-04-10,False
94,Elizabeth,Marshall,Female,1970-11-13,hannah45@hotmail.com,327.279.5687,Thailand,Bangkok,2023-03-03,True
95,Laurie,Petersen,Female,1976-11-02,xrice@stark.com,+1-839-822-5871,Thailand,Phuket,2025-03-11,True
96,Jennifer,Burns,Male,1994-09-24,chavezwilliam@yahoo.com,001-087-406-4039,Vietnam,Ho Chi Minh City,2023-10-12,True
97,Brandon,Cooper,Female,1964-05-03,andersenthomas@ortiz-mack.biz,(676)618-2512x868,Thailand,Khon Kaen,2023-03-20,False
98,Jessica,Walker,Male,1960-03-27,steven86@gray.com,310-690-3311x907,Malaysia,Kuala Lumpur,2023-06-12,False
99,Emily,Brennan,Female,1976-08-26,igonzales@webster.com,439.599.5342x83644,Thailand,Chiang Mai,2025-06-12,True
100,Angela,Vargas,Male,1971-12-01,wwilliams@hotmail.com,+1-685-662-4628x73342,Singapore,Singapore,2023-03-01,True
101,Robin,Hart,Male,1988-05-05,nsanchez@lucas-nielsen.com,830-469-9013,Malaysia,Penang,2024-11-15,False
102,Jennifer,Hansen,Female,1992-08-15,kevin03@hayden.info,936.385.4678,Thailand,Chiang Mai,2025-05-27,True
103,Kyle,Ward,Non-binary,1993-11-02,langjennifer@yahoo.com,556.093.2048,Malaysia,Johor Bahru,2024-06-07,True
104,Beth,Butler,Male,1970-05-16,jerry93@pierce-harding.com,777-252-2872x808,Singapore,Singapore,2025-05-22,True
105,Mary,Jones,Female,2005-06-21,gutierrezmegan@jones.com,875.099.7700,Malaysia,Johor Bahru,2023-01-18,False
106,Andrea,Smith,Male,1996-01-10,andre62@gmail.com,823-398-4546,Thailand,Phuket,2025-03-02,True
107,Nathan,Sullivan,Male,1998-06-13,kevinclayton@valdez.com,666-870-0217,Malaysia,Kuala Lumpur,2023-03-29,True
108,Deanna,Rivera,Female,1966-06-28,jasonparrish@alvarez.com,+1-902-503-9261,Malaysia,Johor Bahru,2024-10-01,True
109,Francisco,Allen,Male,1986-06-25,icampos@hotmail.com,001-185-016-3159x9965,Singapore,Singapore,2024-03-05,False
110,Cynthia,Bowers,Male,1990-08-29,michaelpugh@yahoo.com,(961)943-1142,Vietnam,Ho Chi Minh City,2023-01-12,True
111,Jennifer,Walters,Female,1986-07-07,daniel04@yahoo.com,(412)126-7888x610,Singapore,Singapore,2024-07-09,False
112,Michael,Davis,Male,2000-09-11,asmith@yahoo.com,001-183-982-6224x44721,Vietnam,Ho Chi Minh City,2023-04-15,True
113,Ryan,Fisher,Female,1992-12-13,johnathan37@jensen.com,(596)575-6924x5937,Singapore,Singapore,2023-08-13,False
114,Gregory,Sanders,Male,1981-09-19,yfaulkner@gmail.com,646-519-3982x80737,Malaysia,Johor Bahru,2024-03-29,True
115,Marie,Jones,Female,1987-11-04,cynthiaallen@hotmail.com,(661)797-9688,Vietnam,Ho Chi Minh City,2024-02-22,True
116,Amy,Gibbs,Female,1984-06-19,mackdiane@jackson-salazar.org,+1-656-101-4388x8993,Vietnam,Ho Chi Minh City,2024-09-06,True
117,Neil,Ford,Female,2006-03-30,whitney71@perry-nixon.com,001-254-573-8757x1775,Singapore,Singapore,2024-10-19,True
118,Kevin,Patrick,Male,1967-10-31,deborah23@thompson.info,622.660.9379,Malaysia,Penang,2023-03-11,True
119,Paul,Bush,Female,1974-01-01,raylauren@hotmail.com,(553)714-7859,Vietnam,Ho Chi Minh City,2024-09-24,False
120,Cheryl,Matthews,Non-binary,1983-09-04,rwilliamson@hotmail.com,991-251-3412x5286,Malaysia,Kuala Lumpur,2024-07-22,False
121,Candace,Andrews,Female,1988-10-14,sreid@arias.com,(257)905-0723,Singapore,Singapore,2024-09-06,True
122,Tamara,Wagner,Female,1993-09-06,cperry@yahoo.com,(190)340-4384,Malaysia,Kuala Lumpur,2024-07-15,True
123,Kimberly,Cunningham,Female,1993-09-15,adamsamy@weaver-sherman.info,+1-361-340-7451,Malaysia,Kuala Lumpur,2023-08-15,True
124,Michelle,Wilson,Female,1976-02-15,michelle96@jensen.com,9584982544,Thailand,Phuket,2024-10-09,False
125,Joseph,Hodge,Male,2006-03-24,sydneyfloyd@riddle.com,001-232-536-7294x667,Vietnam,Hanoi,2025-05-04,True
126,Cynthia,Beard,Female,1966-05-02,heather57@yahoo.com,901-751-8636x37454,Vietnam,Ho Chi Minh City,2023-03-24,False
127,Amy,Anderson,Female,1993-01-10,williamsconnie@yahoo.com,1277063242,Vietnam,Hanoi,2024-05-04,True
128,Clarence,Ward,Male,1965-08-10,brettgarrett@hotmail.com,001-361-103-7129x387,Thailand,Chiang Mai,2024-01-26,True
129,Alan,Cooper,Female,1968-03-16,timperez@gmail.com,001-115-542-6221x8909,Singapore,Singapore,2022-12-11,True
130,Scott,Bowen,Female,2002-09-28,cjensen@miller.com,001-196-565-2341x38999,Singapore,Singapore,2023-08-08,False
131,Kimberly,Vaughn,Female,2004-10-20,aprilhicks@hotmail.com,(403)761-3791x8055,Vietnam,Ho Chi Minh City,2024-02-12,False
132,Paul,Combs,Female,1988-08-21,kathrynbest@gmail.com,9104300684,Thailand,Chiang Mai,2023-06-20,True
133,Jennifer,Wang,Female,1988-10-28,davidsonamanda@gmail.com,141-832-8569x146,Singapore,Singapore,2025-07-30,True
134,Brian,Miller,Female,1989-07-26,dsalazar@wade-barrett.com,020-275-8842,Vietnam,Ho Chi Minh City,2023-12-02,True
135,David,Norman,Male,1978-04-16,rogersruben@brown.com,785.079.2524x1913,Vietnam,Hanoi,2024-06-26,False
136,Aaron,Trevino,Female,1960-11-01,ruizpatrick@white.net,001-635-365-4195x180,Singapore,Singapore,2025-01-25,True
137,Jeffrey,Black,Female,1963-02-15,wileymichelle@yahoo.com,187-053-4949x37597,Malaysia,Kuala Lumpur,2023-09-01,True
138,Jessica,Payne,Male,1976-09-05,randolphandrew@reed.com,6413836702,Malaysia,Penang,2023-09-26,False
139,Christopher,Morse,Female,1995-05-15,stephen19@gmail.com,261.990.6234x45655,Malaysia,Johor Bahru,2024-02-04,True
140,Joseph,Jones,Female,1973-10-17,moorefrank@edwards-martinez.com,001-374-741-1249x03521,Vietnam,Da Nang,2024-10-30,True
141,Tanya,Foster,Male,1963-05-01,lori20@yahoo.com,883.171.2100x323,Thailand,Phuket,2023-12-17,True
142,Nathan,Mccoy,Male,2003-11-14,samantha10@gonzalez.info,(151)070-2966,Vietnam,Ho Chi Minh City,2024-08-10,False
143,Anthony,Vega,Female,1971-10-05,rebekahhill@yahoo.com,(099)934-7687,Vietnam,Hanoi,2025-01-05,True
144,Christopher,Reyes,Male,1988-07-12,crystalpham@mayo.com,875.985.6420x5930,Thailand,Chiang Mai,2023-03-01,True
145,Brian,Frey,Female,1996-01-11,terrigarcia@hotmail.com,480.396.5223,Vietnam,Da Nang,2024-02-06,True
146,Louis,Rojas,Male,1984-05-31,stacey92@vaughan.info,+1-427-010-3930,Thailand,Khon Kaen,2025-06-04,True
147,Timothy,Rivera,Female,2001-10-16,matthewthompson@brown-hernandez.com,001-185-156-9154x52267,Vietnam,Ho Chi Minh City,2025-02-21,False
148,Grant,Novak,Female,2007-03-13,elizabetholsen@yahoo.com,422-096-9029x5939,Vietnam,Da Nang,2024-04-02,True
149,Sharon,Taylor,Male,1965-04-17,toni21@santiago.com,331-541-0067x626,Singapore,Singapore,2023-05-07,True
150,Nicole,Bell,Female,1985-07-17,kkramer@chang.com,054-115-2621x8159,Singapore,Singapore,2024-12-31,True
151,Patricia,Bush,Female,1989-05-08,gmoore@harris-lee.net,001-844-431-0698x7205,Singapore,Singapore,2025-07-07,False
152,Ronald,Phillips,Male,2005-01-18,collinclark@hotmail.com,171-467-7418x6256,Vietnam,Da Nang,2022-12-02,True
153,Jacob,Williams,Male,1989-12-03,jeremy49@gmail.com,(115)869-3806,Vietnam,Ho Chi Minh City,2024-06-22,True
154,Robert,Nichols,Male,1992-04-23,zevans@johnson.org,+1-921-722-3320x61632,Singapore,Singapore,2025-02-15,True
155,Jonathan,Bartlett,Female,1964-07-23,jhawkins@gates-stone.com,001-998-616-2299x911,Malaysia,Kuala Lumpur,2025-06-08,True
156,Kimberly,Floyd,Female,1996-06-13,pbaker@yahoo.com,001-970-246-2996,Vietnam,Hanoi,2025-04-19,True
157,Randy,Koch,Male,2006-12-27,reesesamantha@smith-roth.com,471-324-7546x9137,Vietnam,Ho Chi Minh City,2023-01-26,False
158,Robin,Russell,Male,1992-12-19,robertsonerik@yahoo.com,001-862-890-2330x307,Singapore,Singapore,2023-10-21,True
159,Samantha,Bush,Female,1978-08-23,owagner@gmail.com,+1-035-797-2798x55241,Vietnam,Da Nang,2023-02-13,False
160,Anthony,Williams,Female,1998-12-10,deborahbyrd@pearson-palmer.com,229.034.9446x6574,Singapore,Singapore,2024-02-12,False
161,Steven,Byrd,Female,2002-06-08,smithyvonne@yahoo.com,+1-994-417-1545,Malaysia,Kuala Lumpur,2023-10-31,True
162,Jose,Dawson,Female,2004-05-01,edwardcannon@gmail.com,+1-652-074-4666x099,Vietnam,Hanoi,2024-01-31,False
163,Matthew,Reeves,Non-binary,2006-09-14,william28@gmail.com,172-482-5135x3465,Singapore,Singapore,2023-09-18,True
164,Jorge,Carter,Female,1968-01-06,delacruzbrandy@hotmail.com,738-168-4602,Vietnam,Da Nang,2024-06-26,False
165,Victoria,Cooper,Male,1998-09-30,lesliebaldwin@gmail.com,525.007.4329x2712,Vietnam,Ho Chi Minh City,2023-06-28,True
166,Ryan,Jordan,Male,1989-03-12,ismith@gmail.com,001-505-830-0335x4216,Thailand,Bangkok,2025-07-08,True
167,Brianna,Jackson,Female,1963-02-10,stephen89@hotmail.com,625-753-2603x32309,Singapore,Singapore,2025-01-16,False
168,Gary,Richardson,Female,2004-04-08,qmcdowell@dean.com,+1-001-676-1847x2304,Thailand,Khon Kaen,2025-01-18,True
169,Dorothy,Bates,Female,1978-05-16,grivas@higgins.com,393.483.5642x0873,Malaysia,Kuala Lumpur,2024-09-10,True
170,Mark,Smith,Female,2005-09-14,conleyelizabeth@herring.com,001-143-744-7012x0455,Vietnam,Da Nang,2024-12-12,True
171,Joanna,Davis,Female,1963-02-14,elizabethjackson@kline-friedman.com,001-155-216-6746x7621,Vietnam,Da Nang,2024-09-18,True
172,Heather,Brown,Female,1970-11-05,epruitt@gregory.com,+1-027-716-7014x508,Singapore,Singapore,2023-06-20,False
173,Jennifer,Walker,Female,2005-08-01,reynoldsjessica@yahoo.com,(628)900-2877x217,Vietnam,Ho Chi Minh City,2025-05-10,True
174,John,Cordova,Non-binary,1963-06-05,ppowell@stevens.info,775-170-1660,Malaysia,Johor Bahru,2024-04-08,False
175,Andrea,Petersen,Female,2001-02-11,diamondbryant@yahoo.com,(037)589-9757x113,Vietnam,Ho Chi Minh City,2025-04-10,True
176,Matthew,Gallegos,Male,1979-11-14,williamsfrank@gmail.com,001-614-933-1637x351,Singapore,Singapore,2022-11-30,False
177,Brandon,Schultz,Male,2005-09-27,lellis@taylor.com,+1-697-829-2216,Malaysia,Kuala Lumpur,2024-08-31,True
178,Catherine,Morris,Male,1986-03-05,joshuastuart@yahoo.com,226.984.8583x339,Thailand,Khon Kaen,2025-06-16,False
179,Glenda,Morse,Female,1969-01-10,jennifer58@aguilar-bender.biz,+1-846-081-0620x03424,Singapore,Singapore,2024-02-21,True
180,Dwayne,Brown,Male,1980-01-31,howardshaun@parrish.net,(384)066-6580x0439,Singapore,Singapore,2023-12-21,True
181,Maria,Pruitt,Male,2007-12-13,kimberlybrandt@yahoo.com,212.281.6064x842,Vietnam,Hanoi,2024-10-15,True
182,Brandy,Scott,Female,1982-06-30,billmcfarland@hotmail.com,9479851583,Malaysia,Penang,2023-08-03,True
183,Abigail,Hartman,Female,1970-11-05,odavis@gmail.com,+1-555-439-8780x15739,Malaysia,Johor Bahru,2023-09-08,True
184,John,Williams,Female,1981-11-02,cruzamber@yahoo.com,8588770435,Vietnam,Ho Chi Minh City,2025-07-18,True
185,Christopher,Davis,Female,1996-08-10,clarkcrystal@hancock.com,861.207.5011,Thailand,Chiang Mai,2025-02-02,False
186,Gregory,King,Male,1964-10-16,rickey76@stewart-price.com,+1-091-901-5814,Vietnam,Da Nang,2023-02-19,True
187,Catherine,Campbell,Male,1989-10-13,bshort@yahoo.com,(832)684-2450,Thailand,Khon Kaen,2024-03-09,True
188,Nancy,Thomas,Female,1962-11-04,fmedina@clark-figueroa.com,682.223.9431,Vietnam,Da Nang,2025-04-04,True
189,Emily,Bradley,Female,1963-09-13,robertscarlos@gmail.com,975.523.1491,Thailand,Phuket,2023-09-04,True
190,Louis,Hayes,Female,2001-12-10,arianadiaz@yahoo.com,(205)336-4525x77754,Vietnam,Da Nang,2023-09-23,True
191,Andrea,Thompson,Female,2001-04-12,michele28@baker.com,001-108-099-6930x8488,Thailand,Phuket,2024-12-22,True
192,Desiree,Hernandez,Male,1986-09-16,dennis88@sanders.com,+1-392-827-2299x27503,Singapore,Singapore,2024-11-29,False
193,Jesse,Baker,Female,1975-12-04,aprilmoody@harrison-gibson.com,5184498926,Vietnam,Da Nang,2024-12-23,True
194,Michael,Valdez,Male,1965-04-18,okaufman@hotmail.com,(557)790-8272x3184,Thailand,Khon Kaen,2024-07-07,True
195,Edward,Moore,Non-binary,2000-12-19,robertrivera@olson.info,926.030.2992,Malaysia,Kuala Lumpur,2023-10-21,False
196,Crystal,Williams,Non-binary,1998-12-10,jacksonsandra@mullen.com,001-413-797-7236x9292,Thailand,Phuket,2023-06-24,True
197,Donna,Baker,Female,2006-08-27,ecarlson@gmail.com,(621)038-8629x1279,Vietnam,Ho Chi Minh City,2025-07-22,False
198,Benjamin,Bowers,Male,1994-04-02,olsondavid@ryan.biz,650.863.7659x91624,Vietnam,Hanoi,2025-06-15,True
199,Katie,Kent,Female,1965-09-14,ascott@hotmail.com,001-098-180-6356x5126,Thailand,Bangkok,2024-12-07,True
200,Jon,Wyatt,Male,1988-10-27,victoria63@yahoo.com,+1-872-588-7449,Singapore,Singapore,2025-05-24,True
201,Kim,Sanders,Male,1969-05-24,seanlyons@garcia.biz,890-260-1279x61143,Singapore,Singapore,2024-05-14,True
202,Christopher,Johnson,Female,1986-02-25,jennifer90@gmail.com,+1-770-384-3098x8392,Malaysia,Kuala Lumpur,2024-06-25,False
203,Michael,Pena,Female,1970-09-18,kimberly56@willis-holmes.com,848-955-4393,Thailand,Bangkok,2023-01-22,False
204,Sarah,Andrews,Female,1977-10-07,jhunter@gordon.com,489.476.9735x77907,Malaysia,Kuala Lumpur,2024-11-02,False
205,Jonathan,Reyes,Male,1974-12-30,robert58@smith.com,(518)275-5394x2373,Thailand,Bangkok,2023-05-26,True
206,Jill,Salas,Male,1974-01-26,maryhuff@moore-rodriguez.com,+1-790-807-5957x94728,Thailand,Khon Kaen,2023-11-26,True
207,Raymond,Christensen,Female,1968-09-22,imendoza@shaw.com,187.500.3691x559,Malaysia,Penang,2024-02-05,False
208,Jacob,Baker,Female,1978-05-02,michael76@gmail.com,(556)472-9293x14386,Vietnam,Ho Chi Minh City,2024-01-04,False
209,James,Marsh,Female,1970-03-06,thompsonvictor@hotmail.com,857.448.9061x20347,Thailand,Bangkok,2024-07-10,True
210,Cole,Garner,Female,1977-09-04,ann45@gmail.com,(159)399-8245x58771,Malaysia,Penang,2025-08-01,True
211,Christina,Ford,Female,1969-11-09,robert99@sweeney-jones.com,355-449-6475x98762,Vietnam,Hanoi,2024-07-10,False
212,Melissa,Martinez,Female,1975-12-19,clarkrandy@gmail.com,780-068-1149,Singapore,Singapore,2023-09-08,True
213,Christopher,Huynh,Female,1986-07-12,johnmitchell@hotmail.com,(282)005-5778,Vietnam,Ho Chi Minh City,2023-07-26,True
